Date,County,Population,Cases,Deaths,Policies & Announcements (Texas Government)
4/27/2021,FORT BEND COUNTY,811688,107,1,None
4/28/2021,FORT BEND COUNTY,811688,129,3,None
4/29/2021,FORT BEND COUNTY,811688,145,0,None
4/30/2021,FORT BEND COUNTY,811688,123,1,None
5/1/2021,FORT BEND COUNTY,811688,0,1,None
5/2/2021,FORT BEND COUNTY,811688,0,1,None
5/3/2021,FORT BEND COUNTY,811688,133,0,None
5/4/2021,FORT BEND COUNTY,811688,315,0,None
5/5/2021,FORT BEND COUNTY,811688,132,1,None
5/6/2021,FORT BEND COUNTY,811688,131,1,None
5/7/2021,FORT BEND COUNTY,811688,13,3,None
5/8/2021,FORT BEND COUNTY,811688,0,1,None
5/9/2021,FORT BEND COUNTY,811688,0,0,None
5/10/2021,FORT BEND COUNTY,811688,98,0,None
5/11/2021,FORT BEND COUNTY,811688,145,1,None
5/12/2021,FORT BEND COUNTY,811688,105,0,None
5/13/2021,FORT BEND COUNTY,811688,78,0,None
5/14/2021,FORT BEND COUNTY,811688,95,2,None
5/15/2021,FORT BEND COUNTY,811688,0,0,None
5/16/2021,FORT BEND COUNTY,811688,0,0,None
5/17/2021,FORT BEND COUNTY,811688,77,1,None
5/18/2021,FORT BEND COUNTY,811688,94,0,None
5/19/2021,FORT BEND COUNTY,811688,101,2,None
5/20/2021,FORT BEND COUNTY,811688,69,0,None
5/21/2021,FORT BEND COUNTY,811688,25,0,None
5/22/2021,FORT BEND COUNTY,811688,0,2,None
5/23/2021,FORT BEND COUNTY,811688,0,1,None
5/24/2021,FORT BEND COUNTY,811688,68,0,None
5/25/2021,FORT BEND COUNTY,811688,96,2,None
5/26/2021,FORT BEND COUNTY,811688,43,0,None
5/27/2021,FORT BEND COUNTY,811688,38,1,None
5/28/2021,FORT BEND COUNTY,811688,86,0,None
5/29/2021,FORT BEND COUNTY,811688,0,1,None
5/30/2021,FORT BEND COUNTY,811688,0,0,None
1/22/2020,GALVESTON COUNTY,342139,0,0,None
1/23/2020,GALVESTON COUNTY,342139,0,0,None
1/24/2020,GALVESTON COUNTY,342139,0,0,None
1/25/2020,GALVESTON COUNTY,342139,0,0,None
1/26/2020,GALVESTON COUNTY,342139,0,0,None
1/27/2020,GALVESTON COUNTY,342139,0,0,None
1/28/2020,GALVESTON COUNTY,342139,0,0,None
1/29/2020,GALVESTON COUNTY,342139,0,0,None
1/30/2020,GALVESTON COUNTY,342139,0,0,None
1/31/2020,GALVESTON COUNTY,342139,0,0,None
2/1/2020,GALVESTON COUNTY,342139,0,0,None
2/2/2020,GALVESTON COUNTY,342139,0,0,None
2/3/2020,GALVESTON COUNTY,342139,0,0,None
2/4/2020,GALVESTON COUNTY,342139,0,0,None
2/5/2020,GALVESTON COUNTY,342139,0,0,None
2/6/2020,GALVESTON COUNTY,342139,0,0,None
2/7/2020,GALVESTON COUNTY,342139,0,0,None
2/8/2020,GALVESTON COUNTY,342139,0,0,None
2/9/2020,GALVESTON COUNTY,342139,0,0,None
2/10/2020,GALVESTON COUNTY,342139,0,0,None
2/11/2020,GALVESTON COUNTY,342139,0,0,None
2/12/2020,GALVESTON COUNTY,342139,0,0,None
2/13/2020,GALVESTON COUNTY,342139,0,0,None
2/14/2020,GALVESTON COUNTY,342139,0,0,None
2/15/2020,GALVESTON COUNTY,342139,0,0,None
2/16/2020,GALVESTON COUNTY,342139,0,0,None
2/17/2020,GALVESTON COUNTY,342139,0,0,None
2/18/2020,GALVESTON COUNTY,342139,0,0,None
2/19/2020,GALVESTON COUNTY,342139,0,0,None
2/20/2020,GALVESTON COUNTY,342139,0,0,None
2/21/2020,GALVESTON COUNTY,342139,0,0,None
2/22/2020,GALVESTON COUNTY,342139,0,0,None
2/23/2020,GALVESTON COUNTY,342139,0,0,None
2/24/2020,GALVESTON COUNTY,342139,0,0,None
2/25/2020,GALVESTON COUNTY,342139,0,0,None
2/26/2020,GALVESTON COUNTY,342139,0,0,None
2/27/2020,GALVESTON COUNTY,342139,0,0,None
2/28/2020,GALVESTON COUNTY,342139,0,0,None
2/29/2020,GALVESTON COUNTY,342139,0,0,None
3/1/2020,GALVESTON COUNTY,342139,0,0,None
3/2/2020,GALVESTON COUNTY,342139,0,0,None
3/3/2020,GALVESTON COUNTY,342139,0,0,None
3/4/2020,GALVESTON COUNTY,342139,0,0,None
3/5/2020,GALVESTON COUNTY,342139,0,0,None
3/6/2020,GALVESTON COUNTY,342139,0,0,None
3/7/2020,GALVESTON COUNTY,342139,0,0,None
3/8/2020,GALVESTON COUNTY,342139,0,0,None
3/9/2020,GALVESTON COUNTY,342139,0,0,None
3/10/2020,GALVESTON COUNTY,342139,0,0,None
3/11/2020,GALVESTON COUNTY,342139,0,0,None
3/12/2020,GALVESTON COUNTY,342139,0,0,None
3/13/2020,GALVESTON COUNTY,342139,0,0,None
3/14/2020,GALVESTON COUNTY,342139,1,0,None
3/15/2020,GALVESTON COUNTY,342139,0,0,None
3/16/2020,GALVESTON COUNTY,342139,0,0,None
3/17/2020,GALVESTON COUNTY,342139,1,0,The Texas Department of State Health Services confirmed the first death as a result of COVID-19.
3/18/2020,GALVESTON COUNTY,342139,2,0,None
3/19/2020,GALVESTON COUNTY,342139,0,0,"The Governor issued a series of Executive Orders to accomplish the following: Order No. 1: Prohibiting public gatherings of 10 or more people; Order No. 2: Discouraging dine-in at restaurants and bars, or visitation of gyms and massage parlors; Order No. 3: Prohibiting visitation to nursing homes, retirement homes, or long-term care facilities; Order No. 4: Closing schools."
3/20/2020,GALVESTON COUNTY,342139,2,0,"The Texas Supreme Court issued an emergency order suspending residential eviction proceedings through April 19, 2020."
3/21/2020,GALVESTON COUNTY,342139,2,0,None
3/22/2020,GALVESTON COUNTY,342139,3,0,None
3/23/2020,GALVESTON COUNTY,342139,7,0,None
3/24/2020,GALVESTON COUNTY,342139,0,0,None
3/25/2020,GALVESTON COUNTY,342139,4,0,None
3/26/2020,GALVESTON COUNTY,342139,18,0,None
3/27/2020,GALVESTON COUNTY,342139,0,0,None
3/28/2020,GALVESTON COUNTY,342139,9,0,The Department of Health and Human Services waived interview requirements for households applying for SNAP and continued benefits for existing households.
3/29/2020,GALVESTON COUNTY,342139,21,0,None
3/30/2020,GALVESTON COUNTY,342139,0,0,None
3/31/2020,GALVESTON COUNTY,342139,22,0,None
4/1/2020,GALVESTON COUNTY,342139,14,0,"The Governor and the Department of Housing and Community Affairs waived statutes related to the U.S. Department of Housing and Urban Developments HOME Investments Partnership program, granting flexible use of funds to help Texans pay their rent."
4/2/2020,GALVESTON COUNTY,342139,12,0,None
4/3/2020,GALVESTON COUNTY,342139,12,0,None
4/4/2020,GALVESTON COUNTY,342139,6,0,None
4/5/2020,GALVESTON COUNTY,342139,104,1,None
4/6/2020,GALVESTON COUNTY,342139,16,0,None
4/7/2020,GALVESTON COUNTY,342139,0,0,None
4/8/2020,GALVESTON COUNTY,342139,16,4,None
4/9/2020,GALVESTON COUNTY,342139,15,0,None
4/10/2020,GALVESTON COUNTY,342139,21,2,None
4/11/2020,GALVESTON COUNTY,342139,33,1,None
4/12/2020,GALVESTON COUNTY,342139,14,0,None
4/13/2020,GALVESTON COUNTY,342139,0,0,None
4/14/2020,GALVESTON COUNTY,342139,22,1,None
4/15/2020,GALVESTON COUNTY,342139,15,2,None
4/16/2020,GALVESTON COUNTY,342139,9,2,None
4/17/2020,GALVESTON COUNTY,342139,20,1,None
4/18/2020,GALVESTON COUNTY,342139,17,0,None
4/19/2020,GALVESTON COUNTY,342139,12,1,None
4/20/2020,GALVESTON COUNTY,342139,5,2,None
4/21/2020,GALVESTON COUNTY,342139,13,2,None
4/22/2020,GALVESTON COUNTY,342139,11,1,None
4/23/2020,GALVESTON COUNTY,342139,28,1,None
4/24/2020,GALVESTON COUNTY,342139,15,0,"The Governor and the Texas Department of Housing and Community Affairs announced that Texas will provide HOME Tenant Based Rental Assistance to Texans experiencing housing challenges, made possible by waived recently authorized by U.S. Department of Housing and Urban Development."
4/25/2020,GALVESTON COUNTY,342139,0,0,None
4/26/2020,GALVESTON COUNTY,342139,17,1,None
4/27/2020,GALVESTON COUNTY,342139,2,0,None
4/28/2020,GALVESTON COUNTY,342139,7,2,None
4/29/2020,GALVESTON COUNTY,342139,6,0,The Governor suspended certain statutes to temporarily allow for appearances before a notary public via videoconference when executing real-estate instruments such as mortgages.
4/30/2020,GALVESTON COUNTY,342139,18,0,None
5/1/2020,GALVESTON COUNTY,342139,23,2,None
5/2/2020,GALVESTON COUNTY,342139,19,1,None
5/3/2020,GALVESTON COUNTY,342139,15,1,None
5/4/2020,GALVESTON COUNTY,342139,7,0,None
5/5/2020,GALVESTON COUNTY,342139,12,0,None
5/6/2020,GALVESTON COUNTY,342139,11,0,None
5/7/2020,GALVESTON COUNTY,342139,10,0,None
5/8/2020,GALVESTON COUNTY,342139,3,0,"The Governor, the Texas Education Agency, and the Dallas Independent School District launched Operation Connectivity, a statewide initiative to deliver internet connectivity and device solutions for schools, families, and students in the transition to at-home digital learning."
5/9/2020,GALVESTON COUNTY,342139,4,1,None
5/10/2020,GALVESTON COUNTY,342139,4,0,None
5/11/2020,GALVESTON COUNTY,342139,5,0,None
5/12/2020,GALVESTON COUNTY,342139,1,0,None
5/13/2020,GALVESTON COUNTY,342139,2,0,None
5/14/2020,GALVESTON COUNTY,342139,3,1,None
5/15/2020,GALVESTON COUNTY,342139,2,0,None
5/16/2020,GALVESTON COUNTY,342139,3,1,None
5/17/2020,GALVESTON COUNTY,342139,5,0,None
5/18/2020,GALVESTON COUNTY,342139,1,0,None
5/19/2020,GALVESTON COUNTY,342139,4,0,"The Governor urged local governments to reduce the property tax burden on Texans. He also urged the passage of legislation to protect business owners, healthcare facilities and employees, and first responders from being held liable for COVID-19 exposure claims when they adhere to relevant public health guidelines."
5/20/2020,GALVESTON COUNTY,342139,9,0,None
5/21/2020,GALVESTON COUNTY,342139,6,0,None
5/22/2020,GALVESTON COUNTY,342139,0,0,"The Governor released a public service announcement, Be A Good Neighbor. Be a Good Texan, encouraging Texans to do their part to protect themselves and others by following best practices including social distancing, wearing a face mask, and washing hands regularly."
5/23/2020,GALVESTON COUNTY,342139,19,0,None
5/24/2020,GALVESTON COUNTY,342139,9,1,None
5/25/2020,GALVESTON COUNTY,342139,3,0,None
5/26/2020,GALVESTON COUNTY,342139,1,0,None
5/27/2020,GALVESTON COUNTY,342139,10,0,None
5/28/2020,GALVESTON COUNTY,342139,16,0,None
5/29/2020,GALVESTON COUNTY,342139,0,0,None
5/30/2020,GALVESTON COUNTY,342139,16,5,None
5/31/2020,GALVESTON COUNTY,342139,12,0,None
6/1/2020,GALVESTON COUNTY,342139,10,0,None
6/2/2020,GALVESTON COUNTY,342139,30,0,None
6/3/2020,GALVESTON COUNTY,342139,10,0,None
6/4/2020,GALVESTON COUNTY,342139,19,1,None
6/5/2020,GALVESTON COUNTY,342139,30,0,None
6/6/2020,GALVESTON COUNTY,342139,0,0,None
6/7/2020,GALVESTON COUNTY,342139,66,0,None
6/8/2020,GALVESTON COUNTY,342139,22,0,None
6/9/2020,GALVESTON COUNTY,342139,32,0,None
6/10/2020,GALVESTON COUNTY,342139,25,0,None
6/11/2020,GALVESTON COUNTY,342139,33,0,None
6/12/2020,GALVESTON COUNTY,342139,30,2,None
6/13/2020,GALVESTON COUNTY,342139,52,0,None
6/14/2020,GALVESTON COUNTY,342139,71,0,None
6/15/2020,GALVESTON COUNTY,342139,18,0,None
6/16/2020,GALVESTON COUNTY,342139,57,0,None
6/17/2020,GALVESTON COUNTY,342139,66,0,None
6/18/2020,GALVESTON COUNTY,342139,108,0,None
6/19/2020,GALVESTON COUNTY,342139,49,0,None
6/20/2020,GALVESTON COUNTY,342139,107,0,None
6/21/2020,GALVESTON COUNTY,342139,142,0,None
6/22/2020,GALVESTON COUNTY,342139,83,0,None
6/23/2020,GALVESTON COUNTY,342139,101,0,The Governor expanded the authority of mayors and county judges to impose restrictions on outdoor gatherings of over 100 people.
6/24/2020,GALVESTON COUNTY,342139,72,0,None
6/25/2020,GALVESTON COUNTY,342139,226,0,None
6/26/2020,GALVESTON COUNTY,342139,149,0,None
6/27/2020,GALVESTON COUNTY,342139,406,0,None
6/28/2020,GALVESTON COUNTY,342139,0,0,None
6/29/2020,GALVESTON COUNTY,342139,102,0,None
6/30/2020,GALVESTON COUNTY,342139,370,0,None
7/1/2020,GALVESTON COUNTY,342139,0,0,None
7/2/2020,GALVESTON COUNTY,342139,272,5,None
7/3/2020,GALVESTON COUNTY,342139,213,1,None
7/4/2020,GALVESTON COUNTY,342139,212,0,None
7/5/2020,GALVESTON COUNTY,342139,0,0,None
7/6/2020,GALVESTON COUNTY,342139,0,0,None
7/7/2020,GALVESTON COUNTY,342139,596,4,None
7/8/2020,GALVESTON COUNTY,342139,223,0,None
7/9/2020,GALVESTON COUNTY,342139,254,0,None
7/10/2020,GALVESTON COUNTY,342139,257,0,None
7/11/2020,GALVESTON COUNTY,342139,310,4,None
7/12/2020,GALVESTON COUNTY,342139,243,0,None
7/13/2020,GALVESTON COUNTY,342139,0,0,None
7/14/2020,GALVESTON COUNTY,342139,328,0,None
7/15/2020,GALVESTON COUNTY,342139,106,4,None
7/16/2020,GALVESTON COUNTY,342139,145,0,None
7/17/2020,GALVESTON COUNTY,342139,175,0,None
7/18/2020,GALVESTON COUNTY,342139,284,0,None
7/19/2020,GALVESTON COUNTY,342139,214,7,None
7/20/2020,GALVESTON COUNTY,342139,229,1,None
7/21/2020,GALVESTON COUNTY,342139,0,0,None
7/22/2020,GALVESTON COUNTY,342139,309,2,None
7/23/2020,GALVESTON COUNTY,342139,131,0,None
7/24/2020,GALVESTON COUNTY,342139,120,0,None
7/25/2020,GALVESTON COUNTY,342139,132,0,None
7/26/2020,GALVESTON COUNTY,342139,0,0,None
7/27/2020,GALVESTON COUNTY,342139,159,5,None
7/28/2020,GALVESTON COUNTY,342139,162,17,None
7/29/2020,GALVESTON COUNTY,342139,127,2,None
7/30/2020,GALVESTON COUNTY,342139,111,0,None
7/31/2020,GALVESTON COUNTY,342139,116,3,None
8/1/2020,GALVESTON COUNTY,342139,0,2,None
8/2/2020,GALVESTON COUNTY,342139,0,0,None
8/3/2020,GALVESTON COUNTY,342139,104,6,None
8/4/2020,GALVESTON COUNTY,342139,174,3,None
8/5/2020,GALVESTON COUNTY,342139,169,0,None
8/6/2020,GALVESTON COUNTY,342139,62,4,None
8/7/2020,GALVESTON COUNTY,342139,61,1,None
8/8/2020,GALVESTON COUNTY,342139,85,2,None
8/9/2020,GALVESTON COUNTY,342139,0,0,None
8/10/2020,GALVESTON COUNTY,342139,138,0,None
8/11/2020,GALVESTON COUNTY,342139,91,1,None
8/12/2020,GALVESTON COUNTY,342139,102,2,None
8/13/2020,GALVESTON COUNTY,342139,93,1,None
8/14/2020,GALVESTON COUNTY,342139,88,5,None
8/15/2020,GALVESTON COUNTY,342139,49,1,None
8/16/2020,GALVESTON COUNTY,342139,0,2,None
8/17/2020,GALVESTON COUNTY,342139,96,0,None
8/18/2020,GALVESTON COUNTY,342139,102,1,None
8/19/2020,GALVESTON COUNTY,342139,77,2,None
8/20/2020,GALVESTON COUNTY,342139,71,1,None
8/21/2020,GALVESTON COUNTY,342139,25,1,None
8/22/2020,GALVESTON COUNTY,342139,42,1,None
8/23/2020,GALVESTON COUNTY,342139,0,1,None
8/24/2020,GALVESTON COUNTY,342139,50,0,None
8/25/2020,GALVESTON COUNTY,342139,30,3,None
8/26/2020,GALVESTON COUNTY,342139,0,0,None
8/27/2020,GALVESTON COUNTY,342139,0,1,None
8/28/2020,GALVESTON COUNTY,342139,79,1,None
8/29/2020,GALVESTON COUNTY,342139,34,0,None
8/30/2020,GALVESTON COUNTY,342139,0,3,None
8/31/2020,GALVESTON COUNTY,342139,32,0,None
9/1/2020,GALVESTON COUNTY,342139,38,0,None
9/2/2020,GALVESTON COUNTY,342139,33,2,None
9/3/2020,GALVESTON COUNTY,342139,69,1,None
9/4/2020,GALVESTON COUNTY,342139,65,0,None
9/5/2020,GALVESTON COUNTY,342139,28,1,None
9/6/2020,GALVESTON COUNTY,342139,0,0,None
9/7/2020,GALVESTON COUNTY,342139,0,0,None
9/8/2020,GALVESTON COUNTY,342139,199,21,None
9/9/2020,GALVESTON COUNTY,342139,94,0,None
9/10/2020,GALVESTON COUNTY,342139,76,0,None
9/11/2020,GALVESTON COUNTY,342139,72,0,None
9/12/2020,GALVESTON COUNTY,342139,31,0,None
9/13/2020,GALVESTON COUNTY,342139,0,0,None
9/14/2020,GALVESTON COUNTY,342139,21,0,None
9/15/2020,GALVESTON COUNTY,342139,36,0,None
9/16/2020,GALVESTON COUNTY,342139,23,1,None
9/17/2020,GALVESTON COUNTY,342139,42,-13,None
9/18/2020,GALVESTON COUNTY,342139,0,0,None
9/19/2020,GALVESTON COUNTY,342139,0,0,None
9/20/2020,GALVESTON COUNTY,342139,48,0,None
9/21/2020,GALVESTON COUNTY,342139,0,0,None
9/22/2020,GALVESTON COUNTY,342139,23,0,None
9/23/2020,GALVESTON COUNTY,342139,24,0,None
9/24/2020,GALVESTON COUNTY,342139,22,1,None
9/25/2020,GALVESTON COUNTY,342139,17,3,Governor Abbott announced over $171 million in CARES Act funding for rental assistance and the Texas Eviction Diversion Program
9/26/2020,GALVESTON COUNTY,342139,39,1,None
9/27/2020,GALVESTON COUNTY,342139,29,0,None
9/28/2020,GALVESTON COUNTY,342139,0,0,None
9/29/2020,GALVESTON COUNTY,342139,32,0,None
9/30/2020,GALVESTON COUNTY,342139,34,1,None
10/1/2020,GALVESTON COUNTY,342139,27,0,None
10/2/2020,GALVESTON COUNTY,342139,18,1,None
10/3/2020,GALVESTON COUNTY,342139,42,3,None
10/4/2020,GALVESTON COUNTY,342139,31,1,None
10/5/2020,GALVESTON COUNTY,342139,0,0,None
10/6/2020,GALVESTON COUNTY,342139,19,0,None
10/7/2020,GALVESTON COUNTY,342139,26,1,None
10/8/2020,GALVESTON COUNTY,342139,18,0,None
10/9/2020,GALVESTON COUNTY,342139,27,0,None
10/10/2020,GALVESTON COUNTY,342139,23,0,None
10/11/2020,GALVESTON COUNTY,342139,29,0,None
10/12/2020,GALVESTON COUNTY,342139,0,0,None
10/13/2020,GALVESTON COUNTY,342139,24,1,None
10/14/2020,GALVESTON COUNTY,342139,25,0,None
10/15/2020,GALVESTON COUNTY,342139,26,0,None
10/16/2020,GALVESTON COUNTY,342139,10,0,None
10/17/2020,GALVESTON COUNTY,342139,31,0,None
10/18/2020,GALVESTON COUNTY,342139,44,0,None
10/19/2020,GALVESTON COUNTY,342139,0,0,None
10/20/2020,GALVESTON COUNTY,342139,33,2,None
10/21/2020,GALVESTON COUNTY,342139,49,0,None
10/22/2020,GALVESTON COUNTY,342139,0,0,None
10/23/2020,GALVESTON COUNTY,342139,50,0,None
10/24/2020,GALVESTON COUNTY,342139,75,1,None
10/25/2020,GALVESTON COUNTY,342139,71,0,None
10/26/2020,GALVESTON COUNTY,342139,0,0,None
10/27/2020,GALVESTON COUNTY,342139,36,0,None
10/28/2020,GALVESTON COUNTY,342139,86,0,None
10/29/2020,GALVESTON COUNTY,342139,43,0,None
10/30/2020,GALVESTON COUNTY,342139,73,0,None
10/31/2020,GALVESTON COUNTY,342139,57,0,None
11/1/2020,GALVESTON COUNTY,342139,548,0,None
11/2/2020,GALVESTON COUNTY,342139,0,0,None
11/3/2020,GALVESTON COUNTY,342139,84,0,None
11/4/2020,GALVESTON COUNTY,342139,78,0,None
11/5/2020,GALVESTON COUNTY,342139,55,0,None
11/6/2020,GALVESTON COUNTY,342139,69,1,None
11/7/2020,GALVESTON COUNTY,342139,49,0,None
11/8/2020,GALVESTON COUNTY,342139,64,1,None
11/9/2020,GALVESTON COUNTY,342139,0,0,None
11/10/2020,GALVESTON COUNTY,342139,116,0,None
11/11/2020,GALVESTON COUNTY,342139,91,0,None
11/12/2020,GALVESTON COUNTY,342139,0,1,None
11/13/2020,GALVESTON COUNTY,342139,132,0,None
11/14/2020,GALVESTON COUNTY,342139,95,0,None
11/15/2020,GALVESTON COUNTY,342139,134,2,None
11/16/2020,GALVESTON COUNTY,342139,0,0,None
11/17/2020,GALVESTON COUNTY,342139,126,0,None
11/18/2020,GALVESTON COUNTY,342139,64,2,None
11/19/2020,GALVESTON COUNTY,342139,98,1,None
11/20/2020,GALVESTON COUNTY,342139,95,0,None
11/21/2020,GALVESTON COUNTY,342139,98,1,None
11/22/2020,GALVESTON COUNTY,342139,106,0,None
11/23/2020,GALVESTON COUNTY,342139,0,0,None
11/24/2020,GALVESTON COUNTY,342139,133,1,None
11/25/2020,GALVESTON COUNTY,342139,129,0,None
11/26/2020,GALVESTON COUNTY,342139,118,1,None
11/27/2020,GALVESTON COUNTY,342139,0,0,None
11/28/2020,GALVESTON COUNTY,342139,170,0,None
11/29/2020,GALVESTON COUNTY,342139,56,0,None
11/30/2020,GALVESTON COUNTY,342139,0,0,None
12/1/2020,GALVESTON COUNTY,342139,179,0,None
12/2/2020,GALVESTON COUNTY,342139,106,3,None
12/3/2020,GALVESTON COUNTY,342139,137,2,None
12/4/2020,GALVESTON COUNTY,342139,153,1,None
12/5/2020,GALVESTON COUNTY,342139,144,1,None
12/6/2020,GALVESTON COUNTY,342139,189,1,None
12/7/2020,GALVESTON COUNTY,342139,0,0,None
12/8/2020,GALVESTON COUNTY,342139,261,1,None
12/9/2020,GALVESTON COUNTY,342139,81,2,None
12/10/2020,GALVESTON COUNTY,342139,167,2,None
12/11/2020,GALVESTON COUNTY,342139,121,1,None
12/12/2020,GALVESTON COUNTY,342139,222,1,None
12/13/2020,GALVESTON COUNTY,342139,231,0,None
12/14/2020,GALVESTON COUNTY,342139,0,0,None
12/15/2020,GALVESTON COUNTY,342139,267,1,None
12/16/2020,GALVESTON COUNTY,342139,124,0,None
12/17/2020,GALVESTON COUNTY,342139,230,0,"95,000 doses of COVID-19 vaccine have been delivered to 23 different sites throughout the state of Texas. An additional 129,675 doses will be delivered to 87 sites today — bringing the total number of doses to over 224,000 across 110 providers (hospitals and medical schools) in 34 counties."
12/18/2020,GALVESTON COUNTY,342139,187,2,None
12/19/2020,GALVESTON COUNTY,342139,185,0,None
12/20/2020,GALVESTON COUNTY,342139,251,2,None
12/21/2020,GALVESTON COUNTY,342139,0,0,None
12/22/2020,GALVESTON COUNTY,342139,274,4,None
12/23/2020,GALVESTON COUNTY,342139,548,1,None
12/24/2020,GALVESTON COUNTY,342139,378,0,None
12/25/2020,GALVESTON COUNTY,342139,0,6,None
12/26/2020,GALVESTON COUNTY,342139,0,0,None
12/27/2020,GALVESTON COUNTY,342139,849,0,None
12/28/2020,GALVESTON COUNTY,342139,0,0,None
12/29/2020,GALVESTON COUNTY,342139,219,3,None
12/30/2020,GALVESTON COUNTY,342139,243,2,None
12/31/2020,GALVESTON COUNTY,342139,312,1,None
1/1/2021,GALVESTON COUNTY,342139,296,3,None
1/2/2021,GALVESTON COUNTY,342139,0,1,None
1/3/2021,GALVESTON COUNTY,342139,613,0,None
1/4/2021,GALVESTON COUNTY,342139,0,0,None
1/5/2021,GALVESTON COUNTY,342139,359,1,None
1/6/2021,GALVESTON COUNTY,342139,283,3,None
1/7/2021,GALVESTON COUNTY,342139,196,1,None
1/8/2021,GALVESTON COUNTY,342139,309,4,None
1/9/2021,GALVESTON COUNTY,342139,270,0,None
1/10/2021,GALVESTON COUNTY,342139,273,1,None
1/11/2021,GALVESTON COUNTY,342139,0,0,None
1/12/2021,GALVESTON COUNTY,342139,520,3,None
1/13/2021,GALVESTON COUNTY,342139,256,3,None
1/14/2021,GALVESTON COUNTY,342139,291,4,None
1/15/2021,GALVESTON COUNTY,342139,1312,4,None
1/16/2021,GALVESTON COUNTY,342139,236,3,None
1/17/2021,GALVESTON COUNTY,342139,255,0,None
1/18/2021,GALVESTON COUNTY,342139,0,0,None
1/19/2021,GALVESTON COUNTY,342139,0,3,None
1/20/2021,GALVESTON COUNTY,342139,831,6,None
1/21/2021,GALVESTON COUNTY,342139,105,1,None
1/22/2021,GALVESTON COUNTY,342139,462,6,None
1/23/2021,GALVESTON COUNTY,342139,328,3,None
1/24/2021,GALVESTON COUNTY,342139,254,1,None
1/25/2021,GALVESTON COUNTY,342139,0,0,None
1/26/2021,GALVESTON COUNTY,342139,441,2,None
1/27/2021,GALVESTON COUNTY,342139,166,5,None
1/28/2021,GALVESTON COUNTY,342139,228,5,None
1/29/2021,GALVESTON COUNTY,342139,345,5,None
1/30/2021,GALVESTON COUNTY,342139,318,2,None
1/31/2021,GALVESTON COUNTY,342139,153,3,None
2/1/2021,GALVESTON COUNTY,342139,0,0,None
2/2/2021,GALVESTON COUNTY,342139,375,2,None
2/3/2021,GALVESTON COUNTY,342139,369,4,None
2/4/2021,GALVESTON COUNTY,342139,195,0,None
2/5/2021,GALVESTON COUNTY,342139,290,2,None
2/6/2021,GALVESTON COUNTY,342139,200,3,None
2/7/2021,GALVESTON COUNTY,342139,148,0,None
2/8/2021,GALVESTON COUNTY,342139,0,0,None
2/9/2021,GALVESTON COUNTY,342139,211,3,Governor Greg Abbott today announced that the Texas Department of Housing and Community Affairs (TDHCA) has launched the Texas Rent Relief Program — the first statewide rent and utility assistance program for qualifying households throughout Texas. This program has been created to administer the more than $1 billion allocated to Texas through the latest federal COVID-19 stimulus bill
2/10/2021,GALVESTON COUNTY,342139,159,5,None
2/11/2021,GALVESTON COUNTY,342139,192,4,None
2/12/2021,GALVESTON COUNTY,342139,178,4,None
2/13/2021,GALVESTON COUNTY,342139,221,3,None
2/14/2021,GALVESTON COUNTY,342139,75,1,None
2/15/2021,GALVESTON COUNTY,342139,0,1,None
2/16/2021,GALVESTON COUNTY,342139,0,0,None
2/17/2021,GALVESTON COUNTY,342139,0,0,None
2/18/2021,GALVESTON COUNTY,342139,0,2,None
2/19/2021,GALVESTON COUNTY,342139,383,3,None
2/20/2021,GALVESTON COUNTY,342139,37,1,None
2/21/2021,GALVESTON COUNTY,342139,104,3,None
2/22/2021,GALVESTON COUNTY,342139,0,0,None
2/23/2021,GALVESTON COUNTY,342139,0,1,None
2/24/2021,GALVESTON COUNTY,342139,292,3,None
2/25/2021,GALVESTON COUNTY,342139,179,1,None
2/26/2021,GALVESTON COUNTY,342139,132,1,None
2/27/2021,GALVESTON COUNTY,342139,162,0,None
2/28/2021,GALVESTON COUNTY,342139,160,4,None
3/1/2021,GALVESTON COUNTY,342139,0,0,None
3/2/2021,GALVESTON COUNTY,342139,145,3,None
3/3/2021,GALVESTON COUNTY,342139,160,3,None
3/4/2021,GALVESTON COUNTY,342139,102,7,None
3/5/2021,GALVESTON COUNTY,342139,75,1,None
3/6/2021,GALVESTON COUNTY,342139,188,1,None
3/7/2021,GALVESTON COUNTY,342139,93,1,None
3/8/2021,GALVESTON COUNTY,342139,0,0,None
3/9/2021,GALVESTON COUNTY,342139,107,4,None
3/10/2021,GALVESTON COUNTY,342139,136,6,None
3/11/2021,GALVESTON COUNTY,342139,89,2,None
3/12/2021,GALVESTON COUNTY,342139,84,1,None
3/13/2021,GALVESTON COUNTY,342139,90,2,None
3/14/2021,GALVESTON COUNTY,342139,123,1,None
3/15/2021,GALVESTON COUNTY,342139,0,1,None
3/16/2021,GALVESTON COUNTY,342139,128,3,None
3/17/2021,GALVESTON COUNTY,342139,86,4,None
3/18/2021,GALVESTON COUNTY,342139,42,1,None
3/19/2021,GALVESTON COUNTY,342139,84,0,None
3/20/2021,GALVESTON COUNTY,342139,60,1,None
3/21/2021,GALVESTON COUNTY,342139,82,0,None
3/22/2021,GALVESTON COUNTY,342139,0,1,None
3/23/2021,GALVESTON COUNTY,342139,94,0,None
3/24/2021,GALVESTON COUNTY,342139,70,1,None
